target,num_levels,accuracy
80,2,0.84494
80,4,0.90987
80,8,0.94156
80,16,0.94693
80,32,0.9045
80,64,0.90242
80,128,0.92277
80,256,0.9419
80,512,0.95177
85,2,0.89948
85,4,0.92468
85,8,0.93463
85,16,0.93359
85,32,0.93905
85,64,0.91576
85,128,0.91602
85,256,0.93758
85,512,0.94234
90,2,0.87091
90,4,0.93506
90,8,0.94762
90,16,0.93056
90,32,0.94857
90,64,0.91091
90,128,0.95126
90,256,0.91991
90,512,0.91948
95,2,0.91775
95,4,0.94952
95,8,0.92831
95,16,0.9258
95,32,0.95212
95,64,0.92251
95,128,0.93784
95,256,0.94528
95,512,0.94511
99,2,0.85688
99,4,0.95048
99,8,0.92121
99,16,0.92424
99,32,0.93662
99,64,0.92848
99,128,0.91602
99,256,0.92996
99,512,0.91229
